TimeStamp,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,h_d,psi_dot_d,psi_dot_hat,tau_LW,tau_RW,theta_dot_LW,theta_dot_RW,theta_dot_hat,theta_eq,theta_hat,v_d,v_hat,
428,-0.20454462,-0.27611917,9.75063229,0.00446394,-0.05533328,-0.00840588,0.19999999,0.00549451,-0.00170112,0.00000000,0.00000000,0.00000000,0.00000000,-0.05503301,-0.04231516,0.01971998,0.00122106,-0.00419326,
440,-0.21829145,-0.27387911,9.73677921,0.00832765,-0.05746498,-0.01120374,0.19999999,0.00549451,-0.00243958,0.00000000,0.00000000,0.00000000,0.00000000,-0.05737834,-0.04231516,0.01905585,0.00122106,-0.00437239,
453,-0.20760348,-0.28495228,9.80092430,0.00566302,-0.06386007,-0.00960496,0.19999999,0.00549451,-0.00200529,0.00000000,0.00000000,0.00000000,0.00000000,-0.06360796,-0.04231516,0.01843700,0.00122106,-0.00484685,
464,-0.16548820,-0.28714868,9.79426861,0.00499687,-0.07398565,-0.00947173,0.19999999,0.00549451,-0.00195623,0.00000000,0.00000000,0.00000000,0.00000000,-0.07357977,-0.04231516,0.01523339,0.00122106,-0.00560641,
476,-0.13427261,-0.27707979,9.79870796,0.00686210,-0.07331950,-0.01333544,0.19999999,0.00549451,-0.00295550,0.00000000,0.00000000,0.00000000,0.00000000,-0.07333932,-0.04231516,0.01174504,0.00122106,-0.00558870,
489,-0.12573837,-0.25178456,9.75080872,0.00819442,-0.07771613,-0.01280251,0.19999999,0.00549451,-0.00281631,0.00000000,0.00000000,0.00000000,0.00000000,-0.07755041,-0.04231516,0.01009766,0.00122106,-0.00590925,
500,-0.04985844,-0.21677910,9.77187252,0.00912704,-0.08051398,-0.01546714,0.19999999,0.00549451,-0.00350077,0.00000000,0.00000000,0.00000000,0.00000000,-0.08040247,-0.04231516,0.00402232,0.00122106,-0.00612658,
512,-0.01688885,-0.20299655,9.78285217,0.00606272,-0.07944813,-0.01440129,0.19999999,0.00549451,-0.00318863,0.00000000,0.00000000,0.00000000,0.00000000,-0.07949291,-0.04231516,0.00048919,0.00122106,-0.00605747,
525,-0.00735460,-0.19616789,9.78190708,0.00712857,-0.07944813,-0.00707357,0.19999999,0.00549451,-0.00126173,0.00000000,0.00000000,0.00000000,0.00000000,-0.07945631,-0.04231516,-0.00133866,0.00122106,-0.00605452,
536,0.02381100,-0.17169079,9.76798916,0.00513010,-0.08104691,-0.00813942,0.19999999,0.00549451,-0.00150507,0.00000000,0.00000000,0.00000000,0.00000000,-0.08098911,-0.04231516,-0.00372770,0.00122106,-0.00617129,
548,0.03128755,-0.14023937,9.80019188,0.00699534,-0.07811582,-0.00627418,0.19999999,0.00549451,-0.00100994,0.02147794,-0.02238956,0.00000000,0.00000000,-0.07821765,-0.04231516,0.00933689,0.00122106,-0.00595869,
561,0.09318495,-0.13568744,9.74033356,0.01125874,-0.09077279,-0.01067081,0.19999999,0.00549451,-0.00223765,0.03250479,-0.03305415,0.00000000,0.00000000,-0.09024853,-0.04231516,0.01472278,0.00122106,-0.00687374,
572,0.13670813,-0.14955932,9.74428654,0.00992641,-0.09556911,-0.00294340,0.19999999,0.00549451,0.00366014,0.03541307,-0.03614034,0.01745329,-0.03490658,-0.09534944,-0.04231516,0.01513385,0.00122106,-0.00526917,
584,0.07712825,-0.17805196,9.79182529,0.01592183,-0.11315564,0.02117146,0.19999999,0.00549451,0.02963869,0.03592985,-0.03553101,0.03490658,-0.13962634,-0.11245595,-0.04231516,0.01806859,0.00122106,-0.00191922,
597,0.12034936,-0.17885862,9.81686974,-0.00472900,-0.12448030,0.05021587,0.19999999,0.00549451,0.04156844,0.03932207,-0.03392936,0.08726646,-0.20943952,-0.12401463,-0.04231516,0.02043098,0.00122106,0.00185446,
609,0.12749478,-0.23386572,9.82806015,-0.00512873,-0.11995042,0.07619596,0.19999999,0.00549451,0.05240649,0.04153783,-0.03384073,0.13962634,-0.27925268,-0.12013588,-0.04231516,0.02110950,0.00122106,0.00680388,
621,0.20052451,-0.21067978,9.80974007,-0.03510575,-0.11582026,0.04475339,0.19999999,0.00549451,0.02100447,0.04403376,-0.03421414,0.20943952,-0.24434610,-0.11598793,-0.04231516,0.02829028,0.00122106,0.00845242,
633,0.23804426,-0.14291355,9.73651505,0.01152520,-0.12874371,-0.02652533,0.19999999,0.00549451,-0.02593096,0.04750215,-0.04355781,0.29670596,-0.20943952,-0.12821743,-0.04231516,0.01675961,0.00122106,0.00951650,
644,0.28207767,-0.20410959,9.77195644,0.03777175,-0.15845427,-0.08181629,0.19999999,0.00549451,-0.02520355,0.03241482,-0.03776132,0.36651915,-0.34906584,-0.15727495,-0.04231516,0.00275955,0.00122106,0.01527801,
656,0.36790487,-0.24311613,9.84773922,0.03564005,-0.20868245,-0.10206744,0.19999999,0.00549451,-0.05770965,0.01854365,-0.02412114,0.57595867,-0.43633232,-0.20667917,-0.04231516,-0.01680332,0.00122106,0.02281583,
669,0.48064756,-0.36827424,9.82301807,0.04350070,-0.21094736,-0.03518536,0.19999999,0.00549451,-0.01671657,-0.00502715,-0.00735061,0.64577180,-0.61086524,-0.21083878,-0.04231516,-0.04015432,0.00122106,0.03180562,
680,0.34937912,-0.45403948,9.81509876,0.00246547,-0.13620465,0.04342107,0.19999999,0.00549451,0.07853448,-0.01971597,0.01476453,0.34906584,-0.64577180,-0.13915575,-0.04231516,-0.05062914,0.00122106,0.02730149,
692,0.31261900,-0.46588600,10.00304317,-0.02164939,-0.02935319,0.15959874,0.19999999,0.00549451,0.11725184,-0.01199926,0.02541003,0.20943952,-0.54105204,-0.03374783,-0.04231516,-0.03809998,0.00122106,0.02602090,
705,0.38634664,-0.18961209,9.48753452,-0.06121907,0.10174637,0.12442567,0.19999999,0.00549451,0.05712553,0.01300338,0.00848946,-0.10471976,0.00000000,0.09650917,-0.04231516,-0.00187840,0.00122106,0.00338029,
716,0.34913322,-0.05371276,9.41593266,-0.00286378,0.10734207,0.05021587,0.19999999,0.00549451,0.01439919,0.04841245,-0.03732679,-0.22689280,0.22689280,0.10706437,-0.04231516,0.00274185,0.00122106,-0.00911860,
728,0.21470551,-0.01534163,9.76208687,0.07481004,0.05604805,-0.02492655,0.19999999,0.00549451,0.04530391,0.04797640,-0.04500142,-0.31415927,0.08726646,0.05812274,-0.04231516,-0.00129244,0.00122106,-0.01086041,
741,0.26259637,-0.03257437,10.05618382,0.02031845,-0.05746498,-0.00440894,0.19999999,0.00549451,0.04330830,0.04225700,-0.03360991,-0.01745329,-0.17453292,-0.05295916,-0.04231516,-0.00099502,0.00122106,0.00194315,
752,0.28063771,-0.14943531,10.04169083,0.00366455,-0.09450327,0.07886058,0.19999999,0.00549451,0.06885603,0.03177897,-0.02389916,0.15707964,-0.36651915,-0.09292170,-0.04231516,-0.00402063,0.00122106,0.01286261,
764,0.26828140,-0.14916387,9.76583767,-0.04070146,-0.05253542,0.09551448,0.19999999,0.00549451,0.06949018,0.02859175,-0.01598641,0.15707964,-0.34906584,-0.05415342,-0.04231516,0.01041079,0.00122106,0.01515759,
777,0.29828763,-0.10372464,9.52211285,0.00459717,0.01128234,0.07912705,0.19999999,0.00549451,0.03379899,0.04478287,-0.03162106,0.20943952,-0.26179940,0.00867778,-0.04231516,0.00337105,0.00122106,0.01861561,
788,0.25878951,-0.04900093,9.72073364,0.00659563,0.03446458,0.00398462,0.19999999,0.00549451,0.03745120,0.04265461,-0.03624560,0.01745329,-0.17453292,0.03353906,-0.04231516,0.00578411,0.00122106,0.00987984,
801,0.31757662,-0.17629689,9.89263725,0.02378246,0.02100822,0.01131234,0.19999999,0.00549451,0.04720398,0.04674288,-0.03951103,0.00000000,-0.19198622,0.02153216,-0.04231516,-0.00115253,0.00122106,0.00895926,
813,0.30992529,-0.23137601,9.82803249,-0.00139822,0.00635279,0.00771510,0.19999999,0.00549451,0.01501467,0.04064371,-0.03172080,0.01745329,-0.06981317,0.00700543,-0.04231516,0.00048670,0.00122106,0.00386482,
825,0.24072389,-0.28130379,9.71606731,-0.01258966,0.02194084,0.01437666,0.19999999,0.00549451,0.00060635,0.03685417,-0.03415264,0.03490658,-0.01745329,0.02136614,-0.04231516,0.00758612,0.00122106,0.00362564,
836,0.21259114,-0.30153564,9.65223312,0.00699534,0.04658863,-0.01133697,0.19999999,0.00549451,-0.01024480,0.04277598,-0.04265093,0.03490658,0.00000000,0.04560588,-0.04231516,0.01205919,0.00122106,0.00480745,
849,0.22331078,-0.30483693,9.72905064,0.01472273,0.05125172,-0.01400159,0.19999999,0.00549451,-0.00327607,0.04808615,-0.04986478,0.00000000,0.00000000,0.05106753,-0.04231516,0.01600272,0.00122106,0.00389580,
861,0.21913047,-0.35817870,9.85209370,-0.00006592,0.03699598,-0.01813176,0.19999999,0.00549451,-0.00419242,0.05245995,-0.05280335,0.00000000,0.00000000,0.03758954,-0.04231516,0.02180351,0.00122106,0.00286894,
872,0.20851360,-0.37212345,9.90680695,0.00139962,0.02020884,0.00465078,0.19999999,0.00549451,0.00169279,0.05557157,-0.05603062,0.03490658,-0.03490658,0.02091630,-0.04231516,0.02593182,0.00122106,0.00425685,
885,0.20966494,-0.35228556,9.75892162,-0.01005827,-0.00670387,0.00065384,0.19999999,0.00549451,-0.01490285,0.05786924,-0.05717592,0.13962634,-0.06981317,-0.00560223,-0.04231516,0.03004836,0.00122106,0.00755467,
896,0.24737228,-0.29363251,9.60976887,-0.00246410,-0.06545885,-0.01973054,0.19999999,0.00549451,-0.03229677,0.05715480,-0.05966292,0.36651915,-0.24434610,-0.06313053,-0.04231516,0.02753885,0.00122106,0.01845988,
908,0.23181948,-0.26533854,9.67911053,0.00686210,-0.12741138,-0.04930787,0.19999999,0.00549451,-0.03635950,0.04841933,-0.05451163,0.61086524,-0.50614548,-0.12493935,-0.04231516,0.02275049,0.00122106,0.03303112,
921,0.22501072,-0.27905387,9.94197845,0.06348538,-0.20068859,-0.02785764,0.19999999,0.00549451,-0.00378181,0.03900819,-0.04617471,0.85521132,-0.87266463,-0.19777831,-0.04231516,0.01376542,0.00122106,0.05075175,
932,0.38682884,-0.34553736,10.08978939,0.00313163,-0.27383253,0.02303669,0.19999999,0.00549451,0.01832578,0.02881250,-0.03012745,1.15191734,-1.20427716,-0.27091116,-0.04231516,-0.00766809,0.00122106,0.06911631,
944,0.47908640,-0.23626713,9.83854485,0.00086668,-0.25584632,0.07073347,0.19999999,0.00549451,0.03499604,0.00748940,-0.00520885,1.18682384,-1.25663710,-0.25647512,-0.04231516,-0.03471362,0.00122106,0.07354966,
957,0.58108658,-0.25115821,9.72823620,-0.02711186,-0.21934095,0.07326487,0.19999999,0.00549451,0.01187051,-0.01101599,0.01603512,1.32645023,-1.29154360,-0.22091904,-0.04231516,-0.05346493,0.00122106,0.08290336,
968,0.63512325,-0.12070709,9.94014072,0.02378246,-0.13300711,0.04422046,0.19999999,0.00549451,0.07178825,-0.02381413,0.02417675,0.99483770,-1.25663710,-0.13643689,-0.04231516,-0.08258634,0.00122106,0.07538857,
980,0.64020145,0.01438953,9.95597649,-0.02324817,0.03886122,-0.05397097,0.19999999,0.00549451,-0.00533856,-0.03363141,0.04524083,0.68067843,-0.71558499,0.03203784,-0.04231516,-0.08597928,0.00122106,0.05565023,
993,0.50724328,-0.01459452,9.77151680,0.06215307,0.22698371,-0.08008429,0.19999999,0.00549451,0.00191515,-0.02782667,0.02513568,0.05235988,-0.13962634,0.21947530,-0.04231516,-0.08903236,0.00122106,0.02405942,
1004,0.46128625,-0.05581985,9.60562801,0.00566302,0.30705568,-0.10566469,0.19999999,0.00549451,-0.04992687,-0.01285586,0.01213332,-0.24434610,0.34906584,0.30376789,-0.04231516,-0.06883261,0.00122106,0.00055437,
1016,0.46287289,-0.09784916,9.69321632,-0.01645336,0.33570039,-0.08434769,0.19999999,0.00549451,-0.08901449,0.00529348,-0.01532056,-0.29670596,0.59341192,0.33451536,-0.04231516,-0.04518002,0.00122106,-0.00841614,
1029,0.44628125,-0.05491387,9.46835899,0.03057726,0.26602048,-0.08914401,0.19999999,0.00549451,-0.13692638,0.02323916,-0.04022001,-0.22689280,0.73303831,0.26888299,-0.04231516,-0.01923749,0.00122106,-0.01607644,
1040,0.33801934,-0.34845561,9.84652328,0.07867374,0.14851052,-0.00454217,0.19999999,0.00549451,0.00212339,0.03209522,-0.05804171,-0.13962634,0.12217305,0.15319543,-0.04231516,0.02340335,0.00122106,0.00169014,
1052,0.35657287,-0.46332410,9.99625874,0.00592948,0.06830532,0.05221434,0.19999999,0.00549451,0.05343109,0.06965384,-0.06843404,0.12217305,-0.29670596,0.07153691,-0.04231516,0.02315535,0.00122106,0.02140110,
1065,0.29407814,-0.41148624,9.67509651,-0.02911034,0.01474635,0.15640117,0.19999999,0.00549451,0.09330860,0.06763937,-0.05682542,0.27925268,-0.50614548,0.01693591,-0.04231516,0.03347130,0.00122106,0.03121117,
1076,0.18125850,-0.40869090,9.66489601,-0.08786532,-0.03947876,0.12735677,0.19999999,0.00549451,0.04384119,0.07504295,-0.05654551,0.66322511,-0.69813168,-0.03738539,-0.04231516,0.07856629,0.00122106,0.04900996,
1088,0.16839615,-0.25580588,9.57777405,0.05562474,-0.13167478,0.08845323,0.19999999,0.00549451,0.05734451,0.10313097,-0.09342087,0.94247782,-1.09955740,-0.12803473,-0.04231516,0.05301329,0.00122106,0.06803894,
1101,0.33705485,-0.28905687,9.59294224,0.01418981,-0.31033787,0.00345170,0.19999999,0.00549451,0.06076389,0.07582789,-0.06432138,1.36135685,-1.62315619,-0.30327734,-0.04231516,0.02893729,0.00122106,0.09058850,
1113,0.35190621,-0.30080995,9.90931892,0.02804588,-0.45862427,0.04048999,0.19999999,0.00549451,0.05874075,0.04012549,-0.02904289,1.98967540,-2.19911480,-0.45270389,-0.04231516,-0.00805396,0.00122106,0.12507379,
1124,0.40668711,-0.35897037,10.27289200,-0.05642274,-0.56574214,0.06233991,0.19999999,0.00549451,0.03306167,-0.00270041,0.01218496,2.53072739,-2.60054064,-0.56136465,-0.04231516,-0.01582274,0.00122106,0.15270476,
1137,0.46056163,-0.24804249,10.03865242,-0.01458813,-0.54788917,0.04595247,0.19999999,0.00549451,0.00117625,-0.02028408,0.02433474,2.68780708,-2.63544726,-0.54841769,-0.04231516,-0.04995821,0.00122106,0.16101894,
1149,0.43672997,-0.01189470,9.71573353,-0.01458813,-0.37602091,-0.13311031,0.19999999,0.00549451,-0.05760630,-0.04898337,0.04630448,2.33874130,-2.23402143,-0.38279003,-0.04231516,-0.07661280,0.00122106,0.14506206,
1161,0.55590862,-0.09030234,9.63043022,0.09985751,-0.20921536,-0.16668460,0.19999999,0.00549451,-0.05128565,-0.06033839,0.04642686,1.93731546,-1.88495564,-0.21606120,-0.04231516,-0.09684940,0.00122106,0.12917227,
1173,0.57960081,-0.14941368,9.85350323,0.00099993,0.04485662,-0.21704601,0.19999999,0.00549451,-0.08343223,-0.06011441,0.04761337,1.23918378,-1.11701071,0.03474040,-0.04231516,-0.10559520,0.00122106,0.09244098,
1184,0.40579545,-0.23457453,10.17417145,0.02777942,0.23257944,-0.10180099,0.19999999,0.00549451,-0.08033726,-0.04732950,0.02933970,0.48869219,-0.24434610,0.22505505,-0.04231516,-0.07878684,0.00122106,0.04510970,
1196,0.36742592,-0.31194475,9.77550125,-0.00472900,0.31718129,-0.04957434,0.19999999,0.00549451,-0.05657496,-0.00964980,-0.00661108,-0.10471976,0.29670596,0.31379989,-0.04231516,-0.04999678,0.00122106,0.00864409,
1209,0.39495152,-0.15433420,9.47410488,-0.03310727,0.33996385,-0.01013789,0.19999999,0.00366300,-0.06620033,0.02208317,-0.03261008,-0.26179940,0.54105204,0.33910483,-0.04231516,-0.02535995,0.00122106,-0.00473702,
1220,0.43225777,-0.27648917,9.71703339,0.02724649,0.23497759,0.03542720,0.19999999,0.00366300,-0.03790491,0.04262597,-0.05445542,-0.06981317,0.27925268,0.23909074,-0.04231516,-0.00541501,0.00122106,0.00491674,
1232,0.36089990,-0.23600993,10.24971581,0.00126639,0.13385507,0.01690806,0.19999999,0.00366300,0.01239561,0.05193909,-0.05829412,0.03490658,-0.06981317,0.13792968,-0.04231516,0.00925237,0.00122106,0.01449746,
1245,0.29654512,-0.24483643,10.06557751,0.02245015,0.03073411,0.07113317,0.19999999,0.00549451,0.05452039,0.05874164,-0.05585282,0.24434610,-0.40142572,0.03489536,-0.04231516,0.01325635,0.00122106,0.02725790,
1256,0.25985444,-0.23340161,9.55097580,0.00406425,-0.03641444,0.07766150,0.19999999,0.00549451,0.06861454,0.05635335,-0.04564881,0.52359879,-0.73303831,-0.03370144,-0.04231516,0.01504850,0.00122106,0.04530043,
1268,0.28010365,-0.19806486,9.50459099,-0.01232320,-0.11821842,0.12282689,0.19999999,0.00549451,0.08457020,0.05367251,-0.04044095,0.94247782,-1.16937065,-0.11506005,-0.04231516,0.01786330,0.00122106,0.07167796,
1281,0.36472103,-0.09352449,9.97524643,-0.03070912,-0.19389378,0.06220668,0.19999999,0.00549451,0.03766559,0.05148057,-0.03537296,1.32645023,-1.41371667,-0.19086777,-0.04231516,0.02076245,0.00122106,0.08984657,
